case_id,split
amos_0001,train
amos_0004,train
amos_0005,train
amos_0006,train
amos_0007,train
amos_0009,train
amos_0010,train
amos_0011,train
amos_0014,train
amos_0015,train
amos_0016,train
amos_0017,train
amos_0019,train
amos_0021,train
amos_0023,train
amos_0024,train
amos_0025,train
amos_0027,train
amos_0030,train
amos_0033,train
amos_0035,train
amos_0036,train
amos_0038,train
amos_0042,train
amos_0043,train
amos_0044,train
amos_0045,train
amos_0047,train
amos_0048,train
amos_0049,train
amos_0050,train
amos_0052,train
amos_0054,train
amos_0057,train
amos_0058,train
amos_0059,train
amos_0060,train
amos_0064,train
amos_0066,train
amos_0067,train
amos_0069,train
amos_0071,train
amos_0072,train
amos_0075,train
amos_0076,train
amos_0077,train
amos_0078,train
amos_0079,train
amos_0081,train
amos_0083,train
amos_0084,train
amos_0086,train
amos_0088,train
amos_0089,train
amos_0092,train
amos_0094,train
amos_0097,train
amos_0098,train
amos_0099,train
amos_0102,train
amos_0103,train
amos_0104,train
amos_0105,train
amos_0109,train
amos_0110,train
amos_0111,train
amos_0113,train
amos_0115,train
amos_0116,train
amos_0118,train
amos_0119,train
amos_0121,train
amos_0124,train
amos_0125,train
amos_0126,train
amos_0127,train
amos_0129,train
amos_0131,train
amos_0133,train
amos_0134,train
amos_0135,train
amos_0137,train
amos_0138,train
amos_0141,train
amos_0142,train
amos_0143,train
amos_0147,train
amos_0149,train
amos_0152,train
amos_0153,train
amos_0154,train
amos_0156,train
amos_0158,train
amos_0159,train
amos_0160,train
amos_0161,train
amos_0162,train
amos_0166,train
amos_0170,train
amos_0171,train
amos_0172,train
amos_0173,train
amos_0175,train
amos_0177,train
amos_0179,train
amos_0180,train
amos_0181,train
amos_0184,train
amos_0185,train
amos_0186,train
amos_0188,train
amos_0190,train
amos_0192,train
amos_0193,train
amos_0195,train
amos_0196,train
amos_0197,train
amos_0198,train
amos_0199,train
amos_0212,train
amos_0214,train
amos_0215,train
amos_0217,train
amos_0224,train
amos_0225,train
amos_0226,train
amos_0230,train
amos_0231,train
amos_0235,train
amos_0237,train
amos_0239,train
amos_0242,train
amos_0245,train
amos_0248,train
amos_0249,train
amos_0254,train
amos_0259,train
amos_0263,train
amos_0264,train
amos_0268,train
amos_0272,train
amos_0273,train
amos_0274,train
amos_0276,train
amos_0279,train
amos_0281,train
amos_0282,train
amos_0288,train
amos_0294,train
amos_0296,train
amos_0297,train
amos_0299,train
amos_0301,train
amos_0302,train
amos_0307,train
amos_0317,train
amos_0320,train
amos_0321,train
amos_0330,train
amos_0332,train
amos_0336,train
amos_0337,train
amos_0341,train
amos_0348,train
amos_0349,train
amos_0350,train
amos_0351,train
amos_0353,train
amos_0358,train
amos_0361,train
amos_0362,train
amos_0366,train
amos_0367,train
amos_0370,train
amos_0371,train
amos_0374,train
amos_0376,train
amos_0378,train
amos_0379,train
amos_0380,train
amos_0381,train
amos_0383,train
amos_0384,train
amos_0387,train
amos_0388,train
amos_0390,train
amos_0391,train
amos_0392,train
amos_0395,train
amos_0396,train
amos_0398,train
amos_0400,train
amos_0401,train
amos_0402,train
amos_0403,train
amos_0404,train
amos_0405,train
amos_0406,train
amos_0408,train
amos_0410,train
amos_0008,val
amos_0013,val
amos_0018,val
amos_0022,val
amos_0029,val
amos_0032,val
amos_0034,val
amos_0040,val
amos_0041,val
amos_0051,val
amos_0056,val
amos_0061,val
amos_0063,val
amos_0070,val
amos_0073,val
amos_0085,val
amos_0087,val
amos_0090,val
amos_0106,val
amos_0108,val
amos_0112,val
amos_0117,val
amos_0120,val
amos_0123,val
amos_0128,val
amos_0132,val
amos_0136,val
amos_0140,val
amos_0144,val
amos_0150,val
amos_0155,val
amos_0157,val
amos_0167,val
amos_0174,val
amos_0176,val
amos_0189,val
amos_0191,val
amos_0194,val
amos_0200,val
amos_0202,val
amos_0203,val
amos_0204,val
amos_0206,val
amos_0207,val
amos_0208,val
amos_0216,val
amos_0218,val
amos_0219,val
amos_0223,val
amos_0228,val
amos_0233,val
amos_0238,val
amos_0244,val
amos_0247,val
amos_0250,val
amos_0255,val
amos_0257,val
amos_0258,val
amos_0278,val
amos_0280,val
amos_0283,val
amos_0284,val
amos_0286,val
amos_0287,val
amos_0289,val
amos_0290,val
amos_0292,val
amos_0293,val
amos_0304,val
amos_0308,val
amos_0309,val
amos_0310,val
amos_0311,val
amos_0313,val
amos_0316,val
amos_0318,val
amos_0323,val
amos_0325,val
amos_0326,val
amos_0328,val
amos_0333,val
amos_0334,val
amos_0339,val
amos_0342,val
amos_0344,val
amos_0346,val
amos_0352,val
amos_0356,val
amos_0357,val
amos_0363,val
amos_0364,val
amos_0365,val
amos_0368,val
amos_0372,val
amos_0373,val
amos_0377,val
amos_0385,val
amos_0397,val
amos_0399,val
amos_0409,val
