case_id,dice_binary
amos_0001,0.763505
amos_0004,0.533595
amos_0005,0.525125
amos_0006,0.740859
amos_0007,0.555461
amos_0008,0.596439
amos_0009,0.870129
amos_0010,0.870853
amos_0011,0.710094
amos_0013,0.788420
amos_0014,0.037640
amos_0015,0.203873
amos_0016,0.297410
amos_0017,0.724931
amos_0018,0.761502
amos_0019,0.616290
amos_0021,0.807966
amos_0022,0.673486
amos_0023,0.710707
amos_0024,0.729352
amos_0025,0.544614
amos_0027,0.834616
amos_0029,0.846090
amos_0030,0.828894
amos_0032,0.790782
amos_0033,0.710798
amos_0034,0.784478
amos_0035,0.609268
amos_0036,0.808416
amos_0038,0.740292
amos_0040,0.665061
amos_0041,0.708324
amos_0042,0.614298
amos_0043,0.683689
amos_0044,0.880381
amos_0045,0.269446
amos_0047,0.364113
amos_0048,0.682469
amos_0049,0.111917
amos_0050,0.235287
amos_0051,0.574182
amos_0052,0.450325
amos_0054,0.586245
amos_0056,0.607740
amos_0057,0.686975
amos_0058,0.199177
amos_0059,0.782527
amos_0060,0.545343
amos_0061,0.681588
amos_0063,0.605468
amos_0064,0.823383
amos_0066,0.399140
amos_0067,0.858597
amos_0069,0.811688
amos_0070,0.509306
amos_0071,0.861900
amos_0072,0.098074
amos_0073,0.683447
amos_0075,0.611902
amos_0076,0.000000
amos_0077,0.329834
amos_0078,0.528046
amos_0079,0.351111
amos_0081,0.615293
amos_0083,0.723215
amos_0084,0.523348
amos_0085,0.798684
amos_0086,0.780402
amos_0087,0.614185
amos_0088,0.696475
amos_0089,0.821781
amos_0090,0.755818
amos_0092,0.885697
amos_0094,0.437814
amos_0097,0.725694
amos_0098,0.581773
amos_0099,0.587787
amos_0102,0.051465
amos_0103,0.491880
amos_0104,0.820304
amos_0105,0.586918
amos_0106,0.423449
amos_0108,0.845459
amos_0109,0.052486
amos_0110,0.857467
amos_0111,0.648350
amos_0112,0.617608
amos_0113,0.578829
amos_0115,0.637591
amos_0116,0.857844
