case_id,dice_cls1,dice_cls2,dice_cls3,dice_cls4,dice_cls5,dice_cls6,dice_cls7,dice_cls8,dice_cls9,dice_cls10,dice_cls11,dice_cls12,dice_cls13,dice_cls14,dice_cls15,dice_cls16,dice_cls17,dice_cls18,dice_cls19,dice_cls20,dice_cls21,dice_cls22,dice_cls23
subject061,0.919192,0.564750,0.665250,0.749022,0.799713,0.732138,0.751408,0.630324,0.840632,0.755647,0.402871,0.738180,0.876831,0.510195,0.828064,0.759398,0.895616,0.833938,0.841264,0.795482,0.880156,0.822575,0.826653
subject062,0.908237,0.786563,0.448911,0.751746,0.394687,0.740056,0.421771,0.738449,0.917259,0.714765,0.812047,0.568612,0.624090,0.704112,0.711983,0.715841,0.923407,0.741651,0.763572,0.826111,0.444630,0.771429,0.668531
subject063,0.909921,0.869991,0.572826,0.836860,0.813040,0.909827,0.833918,0.838841,0.857270,0.487491,0.669713,0.627354,0.723077,0.701463,0.731113,0.701121,0.889463,0.748097,0.812585,0.801119,0.731979,0.620234,0.632496
subject064,0.919008,0.754971,0.801480,0.884019,0.778629,0.896703,0.797860,0.917527,0.916357,0.701361,0.811392,0.554861,0.744363,0.641697,0.768576,0.390463,0.925938,0.808163,0.652639,0.646218,0.636318,0.655575,0.522749
subject065,0.922757,0.897255,0.564459,0.707858,0.456227,0.831492,0.292467,0.677128,0.785708,0.769080,0.410843,0.796083,0.759129,0.863824,0.799508,0.793975,0.909714,0.855664,0.873362,0.882519,0.806554,0.754268,0.716524
subject066,0.931013,0.702573,0.728469,0.813750,0.733941,0.769498,0.708910,0.891701,0.951929,0.731549,0.242578,0.828152,0.715447,0.805951,0.717329,0.575019,0.929887,0.857046,0.876645,0.734204,0.826243,0.807525,0.789895
subject067,0.879006,0.841349,0.105041,0.697826,0.519898,0.711245,0.627532,0.777835,0.927066,0.669691,0.613412,0.662438,0.619969,0.818486,0.876660,0.844715,0.918406,0.828977,0.886061,0.818956,0.628704,0.826333,0.841826
subject068,0.911931,0.836410,0.779071,0.842945,0.798994,0.844666,0.823512,0.908062,0.919796,0.580801,0.873544,0.624682,0.724780,0.772587,0.747736,0.513823,0.906104,0.838300,0.769017,0.663887,0.661898,0.715236,0.774905
subject069,0.902579,0.846606,0.746180,0.762806,0.705266,0.746382,0.707989,0.774871,0.870194,0.772387,0.794381,0.813761,0.658408,0.783156,0.366585,0.722955,0.924284,0.900073,0.888313,0.790008,0.524539,0.488190,0.396771
subject070,0.930080,0.864832,0.868434,0.808018,0.860677,0.766261,0.903506,0.857547,0.912230,0.601713,0.725965,0.524633,0.829838,0.680023,0.435538,0.809816,0.922901,0.824491,0.850537,0.486446,0.746095,0.848183,0.891429
subject071,0.896924,0.724713,0.533684,0.813810,0.730763,0.794078,0.741313,0.871985,0.944746,0.819146,0.835344,0.850631,0.750268,0.831893,0.826184,0.869023,0.919932,0.884881,0.864806,0.737735,0.661637,0.749796,0.814061
subject072,0.906903,0.882943,0.224571,0.801868,0.395607,0.838675,0.295371,0.754360,0.925087,0.875211,0.622270,0.771361,0.796188,0.678074,0.736944,0.761290,0.909440,0.891624,0.864649,0.811321,0.465238,0.662133,0.619872
subject073,0.899070,0.687323,0.562619,0.737284,0.680704,0.836476,0.590339,0.759206,0.889519,0.823349,0.384592,0.816146,0.785233,0.585935,0.837021,0.832685,0.944002,0.880676,0.883821,0.846146,0.864167,0.741298,0.812645
subject074,0.950237,0.867442,0.777117,0.888169,0.799915,0.880691,0.802516,0.762094,0.922344,0.740874,0.819426,0.741638,0.820651,0.861611,0.805739,0.472222,0.930687,0.904418,0.874077,0.831087,0.785960,0.686347,0.864688
subject075,0.899886,0.587358,0.808993,0.811452,0.757024,0.778452,0.700195,0.793423,0.861650,0.704216,0.816087,0.529229,0.778821,0.728051,0.814697,0.766053,0.916572,0.444439,0.459651,0.682432,0.589496,0.608444,0.464232
subject076,0.932046,0.893908,0.741374,0.834417,0.717574,0.873982,0.818311,0.753454,0.885008,0.686765,0.758251,0.523748,0.889742,0.770936,0.697773,0.709524,0.796118,0.862634,0.810891,0.869767,0.876668,0.853600,0.829342
subject077,0.860327,0.710700,0.510601,0.889922,0.504364,0.832735,0.767306,0.756100,0.886254,0.903666,0.837500,0.813305,0.849057,0.730927,0.816465,0.770026,0.899369,0.947650,0.918447,0.828344,0.646337,0.734033,0.763037
subject078,0.804866,0.703323,0.258412,0.840254,0.671910,0.880513,0.814012,0.894671,0.915308,0.741451,0.759228,0.697836,0.827043,0.481325,0.819179,0.868341,0.881143,0.770697,0.821072,0.747199,0.692254,0.703659,0.591317
subject079,0.913321,0.815996,0.599239,0.755656,0.518854,0.720689,0.816830,0.927335,0.921583,0.652005,0.715105,0.699698,0.852667,0.770170,0.750347,0.783694,0.943385,0.839647,0.864211,0.788566,0.730260,0.787340,0.808796
subject080,0.764371,0.498693,0.881404,0.820600,0.768876,0.769686,0.711711,0.735422,0.885503,0.663339,0.861196,0.702903,0.688762,0.819530,0.779926,0.549038,0.923387,0.763826,0.815753,0.643186,0.663233,0.600565,0.387951
subject081,0.956933,0.801509,0.899622,0.793651,0.726076,0.657768,0.435144,0.783845,0.933442,0.772729,0.582672,0.872277,0.824624,0.841008,0.364596,0.268048,0.927990,0.908524,0.902011,0.830189,0.468578,0.785988,0.801788
subject082,0.924495,0.889235,0.702115,0.877254,0.724958,0.842071,0.893824,0.905674,0.946724,0.907880,0.494176,0.818772,0.881269,0.746599,0.716768,0.298684,0.932273,0.919889,0.885832,0.859452,0.868375,0.711749,0.608477
subject083,0.859710,0.688150,0.735357,0.818711,0.543547,0.875037,0.423244,0.638584,0.915299,0.726149,0.626884,0.811229,0.802687,0.812314,0.441661,0.700346,0.944542,0.900443,0.848500,0.799808,0.791343,0.861428,0.860421
subject085,0.928709,0.734979,0.447452,0.817358,0.534006,0.886544,0.470228,0.690327,0.873410,0.862767,0.704225,0.716932,0.601665,0.735962,0.824116,0.747554,0.946744,0.845292,0.849395,0.729588,0.871176,0.758885,0.765762
subject086,0.902924,0.523435,0.745442,0.758423,0.778649,0.829390,0.730345,0.468306,0.879577,0.369985,0.370829,0.482768,0.418486,0.644232,0.754679,0.556349,0.910950,0.886576,0.898999,0.558718,0.791031,0.626721,0.687149
subject087,0.907543,0.627962,0.519688,0.798019,0.666460,0.888965,0.710728,0.754443,0.888198,0.677073,0.590264,0.471778,0.723908,0.663583,0.690691,0.668342,0.903794,0.897700,0.867611,0.738486,0.712294,0.754568,0.717976
subject088,0.913429,0.840359,0.538677,0.818043,0.706746,0.729380,0.817426,0.791270,0.889385,0.514653,0.789365,0.768339,0.709830,0.834986,0.728762,0.753063,0.931755,0.886318,0.902653,0.712813,0.707125,0.583997,0.506831
subject089,0.937351,0.695136,0.821339,0.753943,0.795706,0.751633,0.855458,0.891200,0.942644,0.843661,0.620173,0.837874,0.685969,0.763070,0.617138,0.807445,0.912464,0.913764,0.881424,0.846430,0.706800,0.436666,0.474893
subject090,0.931251,0.843043,0.784820,0.874287,0.823075,0.894048,0.787258,0.834994,0.945229,0.824483,0.422953,0.703054,0.707385,0.698329,0.700248,0.681890,0.860085,0.790010,0.657102,0.560715,0.471245,0.637393,0.729707
subject091,0.948092,0.901724,0.760684,0.818508,0.813132,0.844170,0.813758,0.833245,0.933702,0.789722,0.293990,0.853387,0.862343,0.719054,0.721635,0.524558,0.900841,0.788698,0.840798,0.677934,0.692338,0.722145,0.752664
subject092,0.676664,0.786769,0.743124,0.629500,0.709957,0.780262,0.598994,0.785594,0.849670,0.872426,0.697427,0.710499,0.843280,0.702915,0.429440,0.505703,0.902287,0.825317,0.871637,0.847212,0.392344,0.467285,0.423881
