case_id,dice_binary
D1,0.805171
D10,0.778551
D11,0.824286
D12,0.754019
D13,0.804895
D14,0.772005
D15,0.810869
D16,0.778199
D17,0.808366
D18,0.793092
D2,0.812162
D3,0.804182
D4,0.813109
D5,0.762520
D6,0.774529
D7,0.813014
D8,0.799385
D9,0.806236
K1,0.811317
K10,0.781336
K11,0.753539
K12,0.810631
K13,0.810021
K14,0.810414
K15,0.773443
K16,0.793034
K17,0.815703
K18,0.777508
K19,0.310841
K2,0.723627
K20,0.441845
K3,0.759126
K4,0.758550
K5,0.792423
K6,0.798209
K7,0.003455
K8,0.784710
K9,0.724982
R1,0.756869
R10,0.730516
R11,0.815465
R12,0.811350
R13,0.817757
R14,0.477346
R15,0.082844
R16,0.140643
R17,0.806015
R18,0.572409
R2,0.715613
R3,0.794001
R4,0.784566
R5,0.773211
R6,0.832014
R7,0.793005
R8,0.790952
R9,0.862659
