case_id,dice_binary,mean_uncertainty_fg
amos_0001,0.485129,0.000000
amos_0004,0.776697,0.000193
amos_0005,0.314634,0.000000
amos_0006,0.754318,0.000005
amos_0007,0.024356,0.000000
amos_0008,0.060122,0.000000
amos_0009,0.881740,0.000001
amos_0010,0.876953,0.000009
amos_0011,0.798649,0.000051
amos_0013,0.809123,0.000004
amos_0014,0.000000,0.000000
amos_0015,0.000000,0.000000
amos_0016,0.124230,0.000000
amos_0017,0.857863,0.000148
amos_0018,0.846268,0.000022
amos_0019,0.737068,0.000074
amos_0021,0.859983,0.000015
amos_0022,0.183228,0.000063
amos_0023,0.730300,0.000021
amos_0024,0.881395,0.000014
amos_0025,0.719224,0.000000
amos_0027,0.870711,0.000015
