case_id,dice_cls1,dice_cls2,dice_cls3,dice_cls4,dice_cls5,dice_cls6,dice_cls7,dice_cls8,dice_cls9,dice_cls10,dice_cls11,dice_cls12,dice_cls13,dice_cls14,dice_cls15,dice_cls16,dice_cls17,dice_cls18,dice_cls19,dice_cls20,dice_cls21,dice_cls22,dice_cls23
subject061,0.944022,0.651403,0.676156,0.668204,0.815370,0.841290,0.724210,0.661718,0.886652,0.732268,0.406086,0.702359,0.851560,0.486322,0.841144,0.834426,0.894592,0.853595,0.855654,0.803673,0.868890,0.827192,0.788937
subject062,0.924292,0.810008,0.460931,0.763279,0.360830,0.817242,0.406276,0.754824,0.933232,0.681514,0.808989,0.568657,0.537081,0.698958,0.725280,0.758458,0.935123,0.881225,0.894085,0.843042,0.430412,0.875100,0.808266
subject063,0.932638,0.902101,0.595223,0.847383,0.806118,0.907430,0.832313,0.850867,0.885782,0.468871,0.669619,0.603365,0.776464,0.693979,0.741349,0.767746,0.928647,0.782868,0.833676,0.811165,0.721992,0.668156,0.616593
subject064,0.934332,0.805966,0.792291,0.899615,0.786098,0.917140,0.745963,0.885809,0.931764,0.673084,0.794334,0.551822,0.653438,0.641316,0.651676,0.408746,0.914647,0.790459,0.876729,0.715293,0.679601,0.704008,0.635713
subject065,0.945164,0.922551,0.579323,0.798930,0.455923,0.857344,0.220847,0.663654,0.830579,0.716480,0.375055,0.830197,0.714183,0.876252,0.816594,0.869709,0.938009,0.867258,0.866677,0.901796,0.816036,0.738683,0.586486
subject066,0.916372,0.740774,0.702755,0.849586,0.749659,0.761930,0.730494,0.898988,0.947427,0.650278,0.274510,0.820108,0.455574,0.828941,0.748530,0.673645,0.934331,0.856150,0.898368,0.777000,0.824735,0.780697,0.762480
subject067,0.896399,0.826536,0.085141,0.690740,0.555261,0.684201,0.616797,0.745402,0.931285,0.699252,0.661947,0.720212,0.619074,0.772923,0.866667,0.819785,0.931490,0.859714,0.900009,0.855422,0.685269,0.883074,0.905495
subject068,0.895111,0.849740,0.759486,0.848185,0.797508,0.868381,0.811765,0.906915,0.936669,0.599298,0.835309,0.690533,0.856896,0.791197,0.786987,0.646154,0.934500,0.864402,0.811414,0.751360,0.698546,0.759458,0.836932
subject069,0.870251,0.859120,0.757816,0.883948,0.707177,0.858004,0.707754,0.770772,0.876206,0.758925,0.781038,0.775313,0.646822,0.781000,0.352754,0.823899,0.915605,0.908318,0.910438,0.819011,0.561892,0.631401,0.581885
subject070,0.913861,0.841487,0.866125,0.830374,0.858888,0.791586,0.904167,0.863160,0.917989,0.633594,0.732000,0.537005,0.881676,0.659906,0.500775,0.834963,0.929643,0.839812,0.846322,0.624777,0.748920,0.892757,0.886840
subject071,0.898247,0.762911,0.521632,0.833404,0.708878,0.819826,0.724671,0.881022,0.955165,0.859270,0.820096,0.871493,0.659574,0.837884,0.834349,0.764905,0.935434,0.901498,0.885425,0.779036,0.743972,0.799265,0.888798
subject072,0.902660,0.860382,0.229622,0.798356,0.365598,0.828145,0.279975,0.768392,0.934064,0.888667,0.638273,0.775304,0.721589,0.710183,0.681564,0.800434,0.915687,0.901397,0.872682,0.846330,0.423818,0.718151,0.592100
subject073,0.914375,0.740531,0.551071,0.725493,0.692736,0.875897,0.604588,0.717096,0.885561,0.742374,0.416127,0.828214,0.729039,0.654295,0.824967,0.715606,0.958208,0.899161,0.884973,0.875214,0.874714,0.782635,0.750847
subject074,0.956467,0.859867,0.767803,0.910804,0.794104,0.892730,0.784818,0.783924,0.927761,0.751633,0.804307,0.714500,0.828617,0.850879,0.789650,0.487211,0.930616,0.908160,0.908629,0.842771,0.847413,0.781667,0.862283
subject075,0.875438,0.637204,0.796404,0.854798,0.734481,0.858852,0.640597,0.775288,0.873942,0.694853,0.834691,0.510028,0.812381,0.723057,0.831393,0.674721,0.912220,0.588672,0.492317,0.716037,0.674746,0.705780,0.496340
subject076,0.932908,0.885770,0.736431,0.855374,0.754959,0.896766,0.828336,0.776831,0.874690,0.617480,0.769417,0.381230,0.876569,0.674128,0.751705,0.826339,0.771928,0.891267,0.851720,0.861098,0.856250,0.896569,0.836863
subject077,0.854595,0.645921,0.463366,0.899514,0.431684,0.847487,0.723794,0.793270,0.897306,0.913640,0.831187,0.812541,0.858006,0.739324,0.834437,0.767347,0.945220,0.938036,0.929056,0.871181,0.656607,0.852617,0.850106
subject078,0.849894,0.738602,0.273168,0.870269,0.708332,0.897169,0.845958,0.912674,0.941370,0.744621,0.760849,0.669150,0.795257,0.554593,0.811981,0.810485,0.926299,0.827960,0.860424,0.622517,0.754597,0.707162,0.628810
subject079,0.903090,0.831912,0.590070,0.763158,0.517561,0.772951,0.786658,0.879085,0.902137,0.594105,0.698292,0.664533,0.821018,0.732303,0.769115,0.744021,0.953206,0.858962,0.897712,0.803012,0.775381,0.781907,0.731385
subject080,0.782497,0.272284,0.855069,0.812862,0.778473,0.869498,0.773632,0.716480,0.883825,0.665434,0.807256,0.690429,0.699335,0.824844,0.803184,0.484908,0.937832,0.796580,0.839596,0.694029,0.770236,0.691517,0.496386
subject081,0.945984,0.852625,0.857424,0.865320,0.696593,0.645263,0.394117,0.814151,0.959602,0.798947,0.625831,0.887805,0.791104,0.834077,0.308631,0.255059,0.947802,0.917320,0.910837,0.850883,0.511013,0.823638,0.794475
subject082,0.922147,0.904601,0.722183,0.880394,0.719409,0.847250,0.873249,0.882070,0.935371,0.897429,0.487585,0.828413,0.879274,0.739186,0.781693,0.404432,0.919569,0.908235,0.873171,0.870164,0.838113,0.739564,0.696036
subject083,0.863419,0.793559,0.719582,0.788947,0.523844,0.878602,0.396677,0.615922,0.915631,0.761082,0.618252,0.835343,0.761072,0.820418,0.561432,0.704363,0.941945,0.914190,0.865478,0.823799,0.816696,0.879709,0.889595
subject085,0.904045,0.717494,0.448589,0.825182,0.618155,0.900094,0.539043,0.697187,0.851665,0.805110,0.710109,0.683281,0.641069,0.701235,0.813206,0.765870,0.933932,0.866674,0.863885,0.719368,0.861395,0.916199,0.896697
subject086,0.878161,0.720024,0.777929,0.787962,0.747490,0.841491,0.677539,0.488630,0.893272,0.419297,0.454810,0.505458,0.416049,0.729204,0.816511,0.655313,0.921597,0.928911,0.914567,0.623079,0.822674,0.698647,0.752335
subject087,0.911887,0.697814,0.520118,0.824572,0.662081,0.879986,0.695224,0.708493,0.873855,0.664447,0.593577,0.419594,0.734952,0.562942,0.655251,0.599271,0.872033,0.921821,0.896491,0.679720,0.736842,0.903809,0.904254
subject088,0.924772,0.881237,0.464703,0.849589,0.716027,0.863965,0.812130,0.814596,0.895524,0.471249,0.645723,0.737595,0.642799,0.812909,0.827565,0.850669,0.930941,0.893391,0.907338,0.826285,0.831315,0.662361,0.501310
subject089,0.944805,0.774627,0.826614,0.751294,0.800399,0.714461,0.855648,0.883697,0.931226,0.848157,0.667966,0.825576,0.683756,0.716670,0.758148,0.885325,0.923020,0.931276,0.898499,0.876617,0.789850,0.538921,0.525566
subject090,0.947594,0.873449,0.798492,0.868812,0.819094,0.883324,0.804898,0.809402,0.930859,0.824219,0.451068,0.717286,0.585512,0.708148,0.650648,0.732645,0.871047,0.774751,0.690934,0.606203,0.661691,0.759689,0.755970
subject091,0.948030,0.860442,0.725690,0.834372,0.806211,0.852273,0.804240,0.838189,0.936535,0.814400,0.296053,0.879544,0.838665,0.731705,0.704628,0.522456,0.909744,0.812600,0.822008,0.718544,0.683205,0.746491,0.712569
subject092,0.686989,0.721696,0.674577,0.632826,0.681397,0.804374,0.621146,0.807897,0.924720,0.872577,0.767179,0.736167,0.841808,0.789166,0.333846,0.339658,0.929169,0.850723,0.849893,0.817429,0.002058,0.600170,0.573470
subject093,0.908329,0.841360,0.609953,0.837154,0.606514,0.865053,0.574366,0.796752,0.920064,0.816005,0.721704,0.698732,0.829152,0.770893,0.774323,0.371113,0.937672,0.861906,0.899272,0.812935,0.742788,0.706986,0.689214
subject094,0.940064,0.859962,0.785537,0.863695,0.883870,0.862149,0.905845,0.949045,0.943122,0.601426,0.784887,0.700552,0.728972,0.794410,0.849353,0.865095,0.953448,0.855138,0.885234,0.789609,0.662872,0.577368,0.694920
subject095,0.914823,0.368887,0.217870,0.788693,0.367870,0.868624,0.631994,0.793227,0.899701,0.568366,0.807107,0.350090,0.700630,0.300773,0.816788,0.774541,0.920932,0.906660,0.821446,0.839519,0.827496,0.709253,0.703703
subject096,0.920705,0.844726,0.740507,0.880402,0.719958,0.899203,0.580480,0.740621,0.935944,0.690317,0.383358,0.844070,0.826585,0.841892,0.649721,0.535888,0.928157,0.902197,0.846225,0.876826,0.731834,0.823691,0.798109
subject097,0.910903,0.861831,0.701296,0.772741,0.587828,0.711941,0.834227,0.781110,0.908641,0.882220,0.816069,0.732347,0.760304,0.540304,0.748569,0.638544,0.948902,0.726375,0.902231,0.775822,0.669263,0.844469,0.861098
subject098,0.862247,0.887132,0.665057,0.850337,0.731767,0.853881,0.613648,0.760275,0.915657,0.844583,0.802366,0.724531,0.730874,0.853256,0.728958,0.728167,0.939225,0.879721,0.883610,0.714835,0.809816,0.636139,0.643752
subject099,0.899878,0.506028,0.542902,0.852253,0.796822,0.880222,0.741821,0.771058,0.849929,0.304871,0.806212,0.508301,0.656790,0.514549,0.852525,0.850037,0.773530,0.493164,0.550486,0.442042,0.661139,0.452047,0.563164
subject100,0.790277,0.691458,0.518931,0.872910,0.470325,0.760870,0.413962,0.774270,0.931639,0.660633,0.754801,0.728384,0.889785,0.603922,0.643967,0.729531,0.936760,0.910365,0.848031,0.779541,0.801770,0.726481,0.765083
