case_id,dice_binary,mean_uncertainty_fg
D1,0.837378,0.000014
D10,0.801410,0.000011
D11,0.853203,0.000002
D12,0.782534,0.000002
D13,0.817807,0.000011
D14,0.794855,0.000002
D15,0.826709,0.000001
D16,0.801823,0.000002
D17,0.829876,0.000002
D18,0.817750,0.000003
D2,0.825803,0.000002
D3,0.814688,0.000006
D4,0.832219,0.000003
D5,0.791806,0.000001
D6,0.794143,0.000002
D7,0.837118,0.000007
D8,0.827009,0.000012
D9,0.823216,0.000003
K1,0.835692,0.000004
K10,0.808688,0.000008
K11,0.813791,0.000013
K12,0.844962,0.000007
K13,0.842294,0.000054
K14,0.845731,0.000018
K15,0.809387,0.000025
K16,0.820852,0.000017
K17,0.863631,0.000021
K18,0.829284,0.000018
K19,0.044567,0.000000
K2,0.762882,0.000097
K20,0.410262,0.000019
K3,0.800137,0.000005
K4,0.794082,0.000009
K5,0.817667,0.000009
K6,0.825657,0.000015
K7,0.000000,0.000000
K8,0.821963,0.000005
K9,0.780200,0.000029
R10,0.793609,0.000028
R11,0.838902,0.000008
R12,0.834225,0.000009
R13,0.826092,0.000011
R14,0.153750,0.000000
R15,0.000000,0.000000
