dataset,case_id,mean_uncertainty_fg,p95_uncertainty_fg,p99_uncertainty_fg,top1pct_mean_uncertainty_fg,max_uncertainty_fg,nonzero_fraction_fg,mean_uncertainty_boundary,p95_uncertainty_boundary,p99_uncertainty_boundary,top1pct_mean_uncertainty_boundary,mean_uncertainty_pred_or_label,p95_uncertainty_pred_or_label,p99_uncertainty_pred_or_label,top1pct_mean_uncertainty_pred_or_label
avt,D1,1.348942533e-05,0,0.0003646567056,0.001159156905,0.006928477436,0.0240472514,1.222942683e-05,0,0.0002320542699,0.001104385708,1.287064151e-05,0,0.0003315060749,0.001136828214
avt,D10,1.112093469e-05,8.021393654e-22,0.0003101231414,0.0009790811455,0.006236921065,1,8.151703696e-06,8.021393654e-22,0.0001378325105,0.0007590682944,1.027689359e-05,8.021393654e-22,0.000275665021,0.0009274794138
avt,D11,2.114688641e-06,3.981889788e-19,4.560506932e-05,0.0001987408759,0.0007296811091,1,2.179869171e-06,3.981889788e-19,4.560506932e-05,0.0002060234983,1.914628683e-06,3.981889788e-19,4.560506932e-05,0.0001843073987
avt,D12,2.008281626e-06,3.583759681e-20,6.108592788e-05,0.0001815229334,0.0005192303797,1,1.933544127e-06,3.583759681e-20,6.108592788e-05,0.0001767059584,1.768498578e-06,3.583759681e-20,3.054296394e-05,0.0001667234465
avt,D13,1.130388227e-05,2.961114532e-19,0.0001418819156,0.001058200607,0.006029981188,1,1.150618937e-05,2.961114532e-19,0.0001773523982,0.001033202978,9.874747775e-06,2.961114532e-19,0.0001064114404,0.0009388884064
avt,D14,1.525813786e-06,3.730497967e-20,4.231500498e-05,0.0001347208454,0.0005077800597,1,2.065728268e-06,3.730497967e-20,8.463000995e-05,0.0001665459276,1.411076596e-06,3.730497967e-20,4.231500498e-05,0.0001277812698
avt,D15,1.073174644e-06,1.019386057e-18,1.019386057e-18,0.0001072997256,0.0004752907844,1,9.729224075e-07,1.019386057e-18,1.019386057e-18,9.724219854e-05,9.411792803e-07,1.019386057e-18,1.019386057e-18,9.4110379e-05
avt,D16,1.642013331e-06,4.792381385e-20,2.626088462e-05,0.0001562178659,0.000551478588,1,1.888040174e-06,4.792381385e-20,5.252176925e-05,0.0001770116505,1.440581514e-06,4.792381385e-20,2.626088462e-05,0.0001402844355
avt,D17,1.52566065e-06,0,5.861889804e-05,0.0001385942596,0.0003810228372,0.01371925836,1.108502715e-06,0,2.930944902e-05,0.0001086983975,1.323288075e-06,0,2.930944902e-05,0.0001267316402
avt,D18,2.621189651e-06,8.673460216e-19,0.0001018912881,0.0002177344868,0.0007472027792,1,2.211635547e-06,8.673460216e-19,6.792752538e-05,0.0001959157962,2.467070999e-06,8.673460216e-19,0.0001018912881,0.0002108936023
avt,D2,2.224086529e-06,3.541141785e-20,8.398002683e-05,0.0001894386514,0.001469650422,1,2.40224108e-06,3.541141785e-20,8.398002683e-05,0.0002042335982,1.862744057e-06,3.541141785e-20,4.199001341e-05,0.0001699990389
avt,D3,6.040620974e-06,4.459569014e-19,0.0002376423945,0.0004507388512,0.005228132941,1,9.613621842e-06,4.459569014e-19,0.0002376423945,0.0008041780093,5.301506917e-06,4.459569014e-19,0.0001901139185,0.0004377475416
avt,D4,3.219098517e-06,1.187521268e-21,8.872204489e-05,0.00028605634,0.002528578276,1,6.117596513e-06,1.187521268e-21,0.000266166142,0.0004019784101,2.933148608e-06,1.187521268e-21,8.872204489e-05,0.0002685468935
avt,D5,1.130354576e-06,5.188382445e-18,4.821197581e-05,0.0001043539305,0.0002892718476,1,1.297680342e-06,5.188382445e-18,4.821197581e-05,0.0001180904001,1.000313773e-06,5.188382445e-18,4.821197581e-05,9.789877367e-05
avt,D6,1.789468911e-06,1.165149526e-21,5.809193317e-05,0.0001665786258,0.0006099652965,1,1.673462521e-06,1.165149526e-21,2.904596658e-05,0.0001635559893,1.530487566e-06,1.165149526e-21,2.904596658e-05,0.0001486587134
avt,D7,7.04623244e-06,4.998653993e-19,0.0001457635954,0.0006313177291,0.002186453901,1,3.546999096e-06,4.998653993e-19,3.644089884e-05,0.0003507748188,6.387347184e-06,4.998653993e-19,0.0001457635954,0.0005859545199
avt,D8,1.159991825e-05,0,0.0001440087799,0.001108035678,0.004212256987,0.01678405796,7.65414552e-06,0,0.0001440087799,0.0007263885345,1.084444921e-05,0,0.0001440087799,0.001045375946
avt,D9,3.132312486e-06,1.60958341e-21,0.0001038542978,0.000245706382,0.001592432614,1,3.013249625e-06,1.60958341e-21,0.0001038542978,0.0002590650984,2.866307341e-06,1.60958341e-21,0.0001038542978,0.0002336413891
avt,K10,8.353041267e-06,0,0.0002765068493,0.000675562711,0.002165970393,0.02318145484,4.278886081e-06,0,0.0001382534247,0.0003870902874,7.114587333e-06,0,0.0002304223744,0.0006099849707
avt,K11,1.283274105e-05,0,0.0003516654833,0.001097946428,0.004219985567,0.02328613667,1.052920652e-05,0,0.0003077072906,0.000881629996,1.10383271e-05,0,0.0002637490979,0.0009871682851
avt,K12,6.706615295e-06,0,8.386239642e-05,0.000656133052,0.007044441067,0.01263371202,4.383926807e-06,0,8.386239642e-05,0.000418048643,5.718240573e-06,0,4.193119821e-05,0.0005682014162
avt,K13,5.438911103e-05,0,0.002098318189,0.004222854972,0.009064733982,0.03136027763,2.737278373e-05,0,0.0007134281914,0.002461076947,4.695828102e-05,0,0.001636688132,0.003900436219
avt,K18,1.906559919e-05,1.25167926e-18,0.0004097206402,0.001678638277,0.005899976939,1,9.406754543e-06,1.25167926e-18,0.0002048603201,0.0008820767398,1.667009383e-05,1.25167926e-18,0.0003277765063,0.001504489104
