case_id,pairwise_dice_mean,pairwise_dice_median,pairwise_dice_min,pairwise_dice_max,n_pairs,n_classes,ground_truth_dice,mahalanobis
D1,0.896204,0.897048,0.883216,0.911941,10,23,0.805171,47.4782
D10,0.916798,0.915345,0.906337,0.926971,10,23,0.778551,50.3214
D11,0.746844,0.753163,0.676038,0.836347,10,23,0.824286,69.0532
D12,0.854439,0.840778,0.829580,0.926845,10,23,0.754019,45.5811
D13,0.780238,0.774508,0.750393,0.820473,10,23,0.804895,54.2456
D14,0.901259,0.913484,0.855478,0.933529,10,23,0.772005,282.8166
D15,0.880167,0.876424,0.835030,0.915061,10,23,0.810869,66.3234
D16,0.881198,0.887829,0.845872,0.938097,10,23,0.778199,60.6062
D17,0.923170,0.921161,0.915840,0.936344,10,19,0.808366,124.7401
D18,0.817789,0.814935,0.767093,0.899432,10,23,0.793092,61.2959
D2,0.917235,0.916230,0.904919,0.935827,10,23,0.812162,30.0357
D3,0.844587,0.842490,0.836229,0.866181,10,23,0.804182,68.7347
D4,0.928054,0.930222,0.912832,0.937585,10,23,0.813109,29.5748
D5,0.796777,0.804681,0.734504,0.848340,10,23,0.762520,44.5573
D6,0.868166,0.874392,0.821621,0.920690,10,23,0.774529,73.5883
D7,0.921522,0.920334,0.913278,0.931826,10,23,0.813014,95.9912
D8,0.913390,0.913771,0.902359,0.922762,10,23,0.799385,50.8622
D9,0.898537,0.890085,0.876829,0.940432,10,22,0.806236,131.9116
K1,0.897983,0.897416,0.888560,0.914541,10,23,0.811317,65.7806
K10,0.788634,0.791945,0.744734,0.820013,10,23,0.781336,63.9147
K11,0.872657,0.872970,0.845101,0.904065,10,23,0.753539,39.0996
K12,0.823393,0.821490,0.793253,0.852895,10,23,0.810631,42.5368
K13,0.795054,0.801352,0.750650,0.820919,10,23,0.810021,37.1119
K14,0.769158,0.771585,0.702951,0.817557,10,23,0.810414,57.5704
K15,0.776074,0.781516,0.729422,0.837360,10,23,0.773443,66.1336
K16,0.854322,0.857630,0.823547,0.875461,10,23,0.793034,40.9058
K17,0.737075,0.744454,0.685722,0.776534,10,23,0.815703,62.1384
K18,0.743994,0.743769,0.674161,0.807386,10,23,0.777508,29.8492
K19,0.158871,0.155024,0.056975,0.251805,10,23,0.310841,478.0843
K2,0.636304,0.639050,0.594935,0.667623,10,23,0.723627,79.0905
K20,0.541119,0.531066,0.479311,0.603153,10,23,0.441845,188.7400
K3,0.847389,0.843986,0.828767,0.870999,10,23,0.759126,22.6826
K4,0.882856,0.884963,0.862936,0.906985,10,23,0.758550,25.8540
K5,0.899804,0.901112,0.887432,0.909908,10,23,0.792423,20.6279
K6,0.860291,0.862052,0.845712,0.873884,10,23,0.798209,40.4735
K7,0.038251,0.034211,0.000069,0.088716,10,20,0.003455,2736.3698
K8,0.760235,0.759955,0.714045,0.798312,10,23,0.784710,48.1968
K9,0.823152,0.820862,0.793412,0.859207,10,23,0.724982,66.1962
R1,0.835729,0.836397,0.820022,0.858182,10,23,0.756869,275.4474
R10,0.846925,0.846932,0.820474,0.864738,10,23,0.730516,39.9330
R11,0.918339,0.917192,0.902409,0.930559,10,23,0.815465,27.6466
R12,0.890647,0.890006,0.865604,0.916708,10,23,0.811350,35.2099
R13,0.868556,0.867281,0.852485,0.891859,10,23,0.817757,47.8438
R14,0.347763,0.341327,0.234552,0.446769,10,23,0.477346,50.7618
R15,0.006465,0.000000,0.000000,0.059858,10,23,0.082844,58.4989
R16,0.066552,0.036716,0.000000,0.218931,10,21,0.140643,116.3791
R17,0.839387,0.832779,0.818288,0.871542,10,23,0.806015,22.8138
R18,0.333729,0.303380,0.241351,0.480628,10,23,0.572409,68.6569
R2,0.859837,0.861843,0.829418,0.877274,10,23,0.715613,48.0213
R3,0.901200,0.903402,0.884508,0.915315,10,23,0.794001,27.4754
