case_id,pairwise_dice_mean,pairwise_dice_median,pairwise_dice_min,pairwise_dice_max,n_pairs,n_classes,ground_truth_dice,mahalanobis
subject061,0.906872,0.904698,0.895675,0.925787,10,23,0.757361,41.2532
subject062,0.865569,0.864031,0.851321,0.879635,10,23,0.699933,23.8670
subject063,0.902912,0.904721,0.884562,0.927151,10,23,0.753035,16.5710
subject064,0.892018,0.899252,0.864613,0.908321,10,23,0.744646,40.1616
subject065,0.894137,0.893715,0.879775,0.913186,10,23,0.744626,37.0743
subject066,0.900937,0.900340,0.882091,0.922768,10,23,0.768228,28.7184
subject067,0.895130,0.897939,0.878564,0.906989,10,23,0.736584,25.6655
subject068,0.907549,0.909079,0.894742,0.920418,10,23,0.775334,22.4744
subject069,0.891391,0.895461,0.862687,0.913930,10,23,0.734204,19.1015
subject070,0.922908,0.923368,0.909125,0.934750,10,23,0.780400,15.9112
subject071,0.909638,0.908779,0.901342,0.923053,10,23,0.802928,26.7908
subject072,0.885753,0.888057,0.869636,0.898857,10,23,0.717000,24.2939
subject073,0.880614,0.880117,0.867342,0.900688,10,23,0.768707,19.8062
subject074,0.904157,0.905119,0.893093,0.918579,10,23,0.816954,34.0276
subject075,0.886478,0.885579,0.875534,0.906698,10,23,0.708733,16.3175
subject076,0.894103,0.892959,0.881869,0.911316,10,23,0.799384,43.9983
subject077,0.913920,0.914719,0.900131,0.920870,10,23,0.790281,26.0123
subject078,0.866043,0.869315,0.845403,0.876033,10,23,0.747174,48.7914
subject079,0.906728,0.908830,0.892741,0.923856,10,23,0.781539,37.9756
subject080,0.873906,0.876999,0.855613,0.886062,10,23,0.726037,27.2015
subject081,0.906069,0.908030,0.894420,0.919456,10,23,0.745174,20.8262
subject082,0.898540,0.898215,0.885349,0.920714,10,23,0.798111,29.0088
subject083,0.919393,0.923301,0.899643,0.936917,10,23,0.757626,30.1164
subject085,0.895324,0.898403,0.882969,0.910071,10,23,0.754047,42.8963
subject086,0.888855,0.885735,0.874154,0.904484,10,23,0.677129,18.6224
subject087,0.870416,0.867107,0.855316,0.890108,10,23,0.732177,64.8892
subject088,0.884933,0.888009,0.862060,0.903261,10,23,0.755444,21.9527
subject089,0.899134,0.900495,0.873350,0.916405,10,23,0.773573,36.4368
subject090,0.899893,0.897486,0.891900,0.921192,10,23,0.746200,39.7221
subject091,0.875914,0.879996,0.848165,0.898916,10,23,0.774223,38.7910
subject092,0.806060,0.804580,0.772115,0.843092,10,23,0.697921,44.5876
subject093,0.907796,0.906076,0.895443,0.916890,10,23,0.763850,23.1660
subject094,0.912783,0.911340,0.897075,0.925206,10,23,0.783353,13.5780
subject095,0.871171,0.874369,0.852247,0.881256,10,23,0.677046,25.4667
subject096,0.913672,0.911777,0.897648,0.927966,10,23,0.775010,16.8022
subject097,0.912263,0.911404,0.899323,0.925060,10,23,0.787879,26.3255
subject098,0.898811,0.898320,0.887907,0.909269,10,23,0.769036,26.4926
subject099,0.797560,0.796208,0.774604,0.830556,10,23,0.663020,40.3418
subject100,0.885065,0.883612,0.862598,0.908767,10,23,0.753927,31.1848
subject101,0.901165,0.899434,0.895586,0.909807,10,23,0.725570,40.9574
subject100,0.885065,0.883612,0.862598,0.908767,10,23,0.753927,31.1848
subject101,0.901165,0.899434,0.895586,0.909807,10,23,0.725570,40.9574
