case_id,pairwise_dice_mean,pairwise_dice_median,pairwise_dice_min,pairwise_dice_max,n_pairs,n_classes,ground_truth_dice,mahalanobis
amos_0001,0.404356,0.405671,0.255011,0.614656,190,23,0.763505,89.3518
amos_0004,0.615372,0.612175,0.501692,0.762015,190,23,0.533595,55.6018
amos_0005,0.244694,0.237203,0.103618,0.489303,190,23,0.525125,90.7103
amos_0006,0.675579,0.699746,0.358317,0.846105,190,23,0.740859,66.4078
amos_0007,0.124638,0.107526,0.008872,0.413948,190,23,0.555461,105.8446
amos_0008,0.197172,0.189772,0.047995,0.528382,190,22,0.596439,84.5811
amos_0009,0.901353,0.901419,0.871790,0.924589,190,23,0.870129,123.1324
amos_0010,0.860474,0.862406,0.803944,0.901596,190,23,0.870853,58.7718
amos_0011,0.623408,0.616003,0.505199,0.771090,190,23,0.710094,46.7654
amos_0013,0.829303,0.830101,0.693868,0.909130,190,23,0.788420,47.2845
amos_0014,0.049050,0.000000,0.000000,0.516998,190,22,0.037640,82.6834
amos_0015,0.119524,0.105113,0.000000,0.419361,190,22,0.203873,70.1413
amos_0016,0.187378,0.099300,0.000000,0.854072,190,23,0.297410,103.8134
amos_0017,0.648508,0.645215,0.511095,0.808860,190,23,0.724931,53.9393
amos_0018,0.665304,0.666075,0.532441,0.776956,190,23,0.761502,82.9067
amos_0019,0.534573,0.528713,0.409300,0.744037,190,23,0.616290,69.8250
amos_0021,0.760555,0.759091,0.693258,0.820787,190,23,0.807966,67.6715
amos_0022,0.349150,0.350412,0.101106,0.650810,190,22,0.673486,84.7807
amos_0023,0.835594,0.837301,0.703039,0.923061,190,23,0.710707,47.7858
amos_0024,0.700238,0.710715,0.543402,0.817929,190,23,0.729352,80.6336
amos_0025,0.429080,0.440970,0.256736,0.619184,190,23,0.544614,94.2674
amos_0027,0.806928,0.806699,0.754548,0.865901,190,23,0.834616,63.5211
amos_0029,0.860398,0.859920,0.807066,0.919382,190,23,0.846090,61.5207
amos_0030,0.872184,0.872791,0.832183,0.904655,190,23,0.828894,46.0697
amos_0032,0.626425,0.623983,0.492990,0.750449,190,23,0.790782,55.2020
amos_0033,0.576248,0.574010,0.424337,0.692210,190,23,0.710798,53.1810
amos_0034,0.808094,0.807308,0.681103,0.916613,190,23,0.784478,94.6852
amos_0035,0.135801,0.128260,0.001103,0.366989,190,22,0.609268,63.6255
amos_0036,0.890377,0.891370,0.852850,0.920092,190,23,0.808416,45.9356
amos_0038,0.782403,0.785154,0.707343,0.840940,190,23,0.740292,63.2334
amos_0040,0.273110,0.274227,0.057850,0.435079,190,23,0.665061,107.2957
amos_0041,0.544495,0.542041,0.400611,0.743464,190,23,0.708324,69.3247
amos_0042,0.590537,0.593188,0.501264,0.683328,190,23,0.614298,59.7942
amos_0043,0.304609,0.278598,0.079062,0.716363,190,23,0.683689,68.8328
amos_0044,0.775771,0.771672,0.710632,0.846860,190,23,0.880381,129.6714
amos_0045,0.138876,0.134768,0.001510,0.368122,190,23,0.269446,82.2540
amos_0047,0.280478,0.259350,0.096167,0.892975,190,23,0.364113,82.7870
amos_0048,0.339090,0.334154,0.186129,0.574208,190,23,0.682469,44.1770
amos_0049,0.118192,0.081329,0.000000,0.885728,190,22,0.111917,101.3741
amos_0050,0.177259,0.177600,0.028307,0.422052,190,23,0.235287,112.3159
amos_0051,0.177470,0.156450,0.051120,0.454978,190,23,0.574182,131.1518
amos_0052,0.179112,0.173447,0.061361,0.385943,190,23,0.450325,67.1958
amos_0054,0.158867,0.148528,0.000010,0.591106,190,23,0.586245,79.9128
amos_0056,0.143187,0.126235,0.063573,0.409719,190,23,0.607740,68.2161
amos_0057,0.282717,0.266579,0.109850,0.500129,190,23,0.686975,109.5378
amos_0058,0.070289,0.053457,0.000000,0.301101,190,23,0.199177,71.9712
amos_0059,0.885469,0.886978,0.813372,0.931307,190,23,0.782527,90.7081
amos_0060,0.250947,0.237868,0.082655,0.533356,190,22,0.545343,101.1062
amos_0061,0.820935,0.822277,0.700292,0.906907,190,23,0.681588,46.5749
amos_0063,0.479282,0.482807,0.363437,0.590163,190,23,0.605468,74.8560
amos_0064,0.733595,0.744739,0.575079,0.837969,190,23,0.823383,47.0010
amos_0066,0.067597,0.034086,0.000000,0.384956,190,23,0.399140,102.5269
amos_0067,0.738104,0.741628,0.652323,0.814380,190,23,0.858597,59.8495
amos_0069,0.843468,0.843684,0.738303,0.919351,190,23,0.811688,66.6596
amos_0070,0.199401,0.191867,0.071272,0.405160,190,23,0.509306,95.0126
amos_0071,0.876518,0.876967,0.832263,0.913968,190,23,0.861900,49.1120
amos_0072,0.061530,0.047454,0.000000,0.231975,190,23,0.098074,72.6548
amos_0073,0.886651,0.889275,0.815688,0.930989,190,23,0.683447,87.3892
amos_0075,0.547458,0.550501,0.434716,0.696364,190,23,0.611902,57.0557
amos_0076,0.090357,0.000000,0.000000,0.860377,190,21,0.000000,148.7930
amos_0077,0.091284,0.082215,0.000000,0.304404,190,23,0.329834,75.3326
amos_0078,0.275371,0.271875,0.126411,0.466977,190,23,0.528046,75.7134
amos_0079,0.116410,0.088304,0.000000,0.744288,190,22,0.351111,75.9163
amos_0081,0.262952,0.243379,0.063085,0.643670,190,23,0.615293,101.8921
amos_0083,0.623745,0.622565,0.521526,0.778985,190,23,0.723215,78.7451
amos_0084,0.198360,0.197058,0.038639,0.377550,190,23,0.523348,93.0419
amos_0085,0.877134,0.876811,0.834570,0.911107,190,23,0.798684,76.4728
amos_0086,0.799204,0.804533,0.670224,0.906283,190,23,0.780402,59.0400
amos_0087,0.205392,0.199733,0.027988,0.456634,190,23,0.614185,88.0938
amos_0088,0.262252,0.258622,0.136789,0.445187,190,23,0.696475,102.6050
