case_id,pairwise_dice_mean,pairwise_dice_median,pairwise_dice_min,pairwise_dice_max,n_pairs,n_classes,ground_truth_dice,mahalanobis
D1,0.891775,0.890809,0.865577,0.919147,190,23,0.805171,47.4782
D10,0.915206,0.915760,0.887286,0.939049,190,23,0.778551,50.3214
D2,0.916083,0.915606,0.897908,0.935827,190,23,0.812162,30.0357
D3,0.853104,0.851483,0.815944,0.892965,190,23,0.804182,68.7347
D4,0.925261,0.925757,0.898643,0.945329,190,23,0.813109,29.5748
D5,0.799769,0.800438,0.733024,0.870030,190,23,0.762520,44.5573
D6,0.866734,0.869844,0.778576,0.935491,190,23,0.774529,73.5883
D7,0.922958,0.923052,0.902406,0.939259,190,23,0.813014,95.9912
D11,0.790140,0.796691,0.676038,0.865618,190,23,0.824286,69.0532
D12,0.855431,0.845567,0.792388,0.943009,190,23,0.754019,45.5811
D13,0.772822,0.773300,0.685976,0.833530,190,23,0.804895,54.2456
D14,0.902278,0.914969,0.818811,0.941443,190,23,0.772005,282.8166
D8,0.903967,0.904467,0.870169,0.931998,190,23,0.799385,50.8622
D9,0.899050,0.893747,0.828157,0.956925,190,23,0.806236,131.9116
D15,0.892101,0.889964,0.833245,0.936683,190,23,0.810869,66.3234
D16,0.890602,0.891790,0.803267,0.952260,190,23,0.778199,60.6062
D17,0.925741,0.925769,0.905264,0.943287,190,19,0.808366,124.7401
D18,0.856058,0.858488,0.767093,0.932427,190,23,0.793092,61.2959
K1,0.885334,0.885732,0.856814,0.914541,190,23,0.811317,65.7806
K10,0.791756,0.788023,0.710576,0.904601,190,23,0.781336,63.9147
K11,0.870492,0.871399,0.828666,0.904065,190,23,0.753539,39.0996
K12,0.813340,0.812107,0.737422,0.863417,190,23,0.810631,42.5368
K13,0.788827,0.790798,0.698584,0.857812,190,23,0.810021,37.1119
K14,0.764386,0.763424,0.702951,0.838186,190,23,0.810414,57.5704
K15,0.766161,0.766300,0.662459,0.856053,190,23,0.773443,66.1336
K16,0.857921,0.860613,0.779142,0.898865,190,23,0.793034,40.9058
K17,0.720690,0.721400,0.641864,0.781495,190,23,0.815703,62.1384
K18,0.747916,0.744972,0.631525,0.848131,190,23,0.777508,29.8492
K19,0.186898,0.160523,0.056975,0.796553,190,23,0.310841,478.0843
K2,0.627920,0.627654,0.536246,0.752097,190,23,0.723627,79.0905
K20,0.571640,0.574397,0.455568,0.692535,190,23,0.441845,188.7400
K3,0.848237,0.847091,0.818101,0.883145,190,23,0.759126,22.6826
K4,0.876181,0.875960,0.834514,0.909833,190,23,0.758550,25.8540
K5,0.901787,0.902519,0.872131,0.927122,190,23,0.792423,20.6279
K6,0.858144,0.858931,0.814062,0.899106,190,23,0.798209,40.4735
K7,0.033446,0.024755,0.000000,0.149531,190,22,0.003455,2736.3698
K8,0.748414,0.750580,0.675827,0.812068,190,23,0.784710,48.1968
K9,0.822754,0.824206,0.763011,0.875800,190,23,0.724982,66.1962
R1,0.827367,0.826265,0.785453,0.860877,190,23,0.756869,275.4474
R10,0.848947,0.848612,0.811856,0.885123,190,23,0.730516,39.9330
R11,0.923533,0.924735,0.890362,0.942519,190,23,0.815465,27.6466
R12,0.896511,0.896556,0.863617,0.924037,190,23,0.811350,35.2099
R13,0.873357,0.874346,0.841474,0.908833,190,23,0.817757,47.8438
R14,0.402244,0.400863,0.184602,0.638133,190,23,0.477346,50.7618
R15,0.029034,0.004779,0.000000,0.286788,190,23,0.082844,58.4989
R16,0.085360,0.071029,0.000000,0.406798,190,23,0.140643,116.3791
R17,0.841616,0.840848,0.787712,0.897563,190,23,0.806015,22.8138
R18,0.319227,0.311299,0.190644,0.554873,190,23,0.572409,68.6569
R2,0.853833,0.854842,0.800637,0.889981,190,23,0.715613,48.0213
R3,0.906006,0.905213,0.884473,0.932588,190,23,0.794001,27.4754
R4,0.882629,0.883909,0.848863,0.910159,190,23,0.784566,66.7839
R5,0.878783,0.879406,0.847520,0.906810,190,23,0.773211,55.6311
R6,0.859335,0.858940,0.821384,0.899725,190,23,0.832014,60.8739
R7,0.842787,0.843414,0.789705,0.891263,190,23,0.793005,24.4939
R8,0.924934,0.925487,0.906116,0.943273,190,23,0.790952,36.4922
R9,0.853541,0.854006,0.809158,0.896190,190,23,0.862659,107.7967
