case_id,pairwise_dice_mean,pairwise_dice_median,pairwise_dice_min,pairwise_dice_max,n_pairs,n_classes,ground_truth_dice,mahalanobis
subject061,0.904712,0.904796,0.877538,0.928262,190,23,0.757361,41.2532
subject062,0.868758,0.867171,0.842405,0.904661,190,23,0.699933,23.8670
subject063,0.898662,0.898269,0.868954,0.927151,190,23,0.753035,16.5710
subject064,0.902265,0.903921,0.859703,0.927839,190,23,0.744646,40.1616
subject065,0.888746,0.890160,0.847220,0.913186,190,23,0.744626,37.0743
subject066,0.905118,0.905974,0.872329,0.930950,190,23,0.768228,28.7184
subject067,0.894569,0.897644,0.843996,0.924612,190,23,0.736584,25.6655
subject068,0.906141,0.906207,0.880207,0.925657,190,23,0.775334,22.4744
subject069,0.893719,0.899723,0.822358,0.930845,190,23,0.734204,19.1015
subject070,0.919238,0.920885,0.885642,0.947021,190,23,0.780400,15.9112
subject071,0.907707,0.906954,0.881945,0.932053,190,23,0.802928,26.7908
subject072,0.881771,0.881837,0.852058,0.909743,190,23,0.717000,24.2939
subject073,0.886817,0.885534,0.857920,0.918889,190,23,0.768707,19.8062
subject074,0.905593,0.906842,0.882440,0.926594,190,23,0.816954,34.0276
subject075,0.887275,0.888760,0.850690,0.912424,190,23,0.708733,16.3175
subject076,0.891412,0.892755,0.849200,0.917165,190,23,0.799384,43.9983
subject077,0.913798,0.913558,0.894223,0.938280,190,23,0.790281,26.0123
subject078,0.863323,0.865580,0.821499,0.896112,190,23,0.747174,48.7914
subject079,0.908954,0.909945,0.877051,0.932349,190,23,0.781539,37.9756
subject080,0.874028,0.873645,0.841534,0.905083,190,23,0.726037,27.2015
subject081,0.903193,0.903612,0.879600,0.928416,190,23,0.745174,20.8262
subject082,0.903739,0.904377,0.862196,0.930105,190,23,0.798111,29.0088
subject083,0.917968,0.918572,0.882785,0.941395,190,23,0.757626,30.1164
subject085,0.890023,0.891435,0.847843,0.930906,190,23,0.754047,42.8963
subject086,0.884330,0.885551,0.843607,0.911322,190,23,0.677129,18.6224
subject087,0.880059,0.879353,0.842255,0.920146,190,23,0.732177,64.8892
subject088,0.894019,0.895515,0.859524,0.919885,190,23,0.755444,21.9527
subject089,0.904394,0.905434,0.872143,0.929638,190,23,0.773573,36.4368
subject090,0.892666,0.893667,0.849522,0.924646,190,23,0.746200,39.7221
subject091,0.876393,0.875944,0.838187,0.919393,190,23,0.774223,38.7910
subject092,0.817925,0.818025,0.759221,0.871317,190,23,0.697921,44.5876
subject093,0.903753,0.903292,0.870925,0.925731,190,23,0.763850,23.1660
subject094,0.910870,0.910875,0.875169,0.935353,190,23,0.783353,13.5780
subject095,0.866221,0.867873,0.827533,0.891659,190,23,0.677046,25.4667
subject096,0.908799,0.909502,0.865905,0.929605,190,23,0.775010,16.8022
subject097,0.911567,0.911185,0.881526,0.938208,190,23,0.787879,26.3255
subject098,0.901134,0.902238,0.864039,0.926421,190,23,0.769036,26.4926
subject099,0.815552,0.815291,0.769525,0.863935,190,23,0.663020,40.3418
subject100,0.894103,0.893647,0.862598,0.920019,190,23,0.753927,31.1848
subject101,0.896029,0.898704,0.855019,0.923661,190,23,0.725570,40.9574
