case_id,our_aorta_ml,ts_aorta_ml,diff_aorta_ml,our_r_iliac_ml,ts_r_iliac_ml,diff_r_iliac_ml,our_l_iliac_ml,ts_l_iliac_ml,diff_l_iliac_ml
s0000,15.009,0.000,15.009,3.189,2.126,1.063,2.494,3.898,-1.404
s0001,0.000,35.697,-35.697,1.691,13.088,-11.397,1.583,10.132,-8.549
s0004,275.903,191.980,83.923,91.381,17.867,73.514,29.025,17.800,11.225
s0006,0.000,28.252,-28.252,0.358,18.546,-18.188,0.449,17.472,-17.023
s0010,106.572,99.910,6.662,17.834,12.660,5.174,20.912,10.766,10.145
s0011,246.692,192.169,54.523,29.673,12.896,16.777,23.740,13.422,10.317
s0012,99.579,101.149,-1.569,24.607,12.450,12.157,31.894,11.758,20.135
s0013,68.361,62.495,5.866,18.748,17.115,1.633,27.324,17.317,10.007
s0014,110.444,100.477,9.966,19.578,14.850,4.728,29.339,13.787,15.552
s0015,141.770,180.482,-38.711,24.519,22.764,1.755,35.360,24.945,10.415
s0016,127.096,168.024,-40.929,28.897,21.067,7.830,24.550,19.612,4.938
s0022,5.903,61.776,-55.873,0.402,18.556,-18.154,0.294,18.562,-18.269
s0028,214.086,160.407,53.679,26.109,10.770,15.339,19.241,10.179,9.062
s0029,411.149,435.682,-24.533,31.536,25.191,6.345,43.288,26.652,16.635
s0030,116.927,119.809,-2.882,20.662,16.878,3.783,23.581,18.637,4.944
s0031,102.641,94.848,7.793,12.865,17.415,-4.550,15.741,13.881,1.860
s0034,34.243,31.198,3.044,6.136,6.018,0.118,4.141,9.332,-5.191
s0038,86.606,64.857,21.748,37.753,15.032,22.721,25.258,13.692,11.566
s0039,43.926,44.476,-0.550,0.000,0.000,0.000,0.000,0.000,0.000
s0040,199.597,203.293,-3.696,26.517,16.966,9.551,30.078,15.970,14.107
s0042,84.956,80.129,4.826,22.974,17.260,5.714,21.428,15.380,6.048
s0045,185.065,258.717,-73.653,66.865,40.213,26.652,53.146,39.342,13.804
s0048,94.500,115.567,-21.067,0.000,0.395,-0.395,0.068,0.412,-0.344
s0052,160.866,146.516,14.350,32.451,24.175,8.276,42.626,25.232,17.395
s0053,183.117,91.365,91.753,43.851,24.047,19.804,26.993,20.861,6.132
s0054,86.150,79.174,6.976,19.724,14.985,4.739,27.240,16.406,10.834
s0058,103.582,104.416,-0.834,17.962,13.942,4.020,28.326,14.911,13.416
s0059,173.144,182.598,-9.453,11.856,7.412,4.445,12.015,8.080,3.935
s0062,0.115,9.619,-9.504,0.010,10.712,-10.702,0.000,9.821,-9.821
s0065,356.903,346.582,10.321,78.330,46.615,31.715,67.055,53.123,13.932
s0066,12.049,27.094,-15.046,1.367,10.483,-9.116,1.455,12.393,-10.938
s0070,92.367,106.998,-14.631,0.000,0.175,-0.175,0.196,0.202,-0.007
s0071,210.587,209.307,1.279,7.675,7.155,0.520,8.778,7.324,1.455
s0072,138.105,121.996,16.109,27.942,18.431,9.511,28.600,20.186,8.414
s0073,18.036,91.992,-73.956,3.642,27.908,-24.266,7.030,27.159,-20.129
s0074,0.000,3.493,-3.493,2.079,25.508,-23.429,0.047,19.956,-19.909
s0075,142.975,134.919,8.056,37.803,24.472,13.331,38.792,25.883,12.909
s0077,110.605,95.421,15.184,22.677,20.041,2.636,34.469,22.677,11.792
s0078,118.162,109.623,8.539,46.042,25.154,20.888,19.717,20.827,-1.110
s0082,58.340,54.594,3.746,14.988,12.056,2.933,22.400,13.709,8.691
s0086,321.580,314.938,6.642,42.464,27.827,14.637,16.230,25.596,-9.366
s0088,66.882,94.068,-27.186,0.000,0.000,0.000,0.000,0.000,0.000
s0089,119.681,81.773,37.908,41.944,14.540,27.405,21.985,12.990,8.994
s0090,70.119,60.919,9.200,26.568,15.441,11.127,20.645,14.853,5.792
s0091,422.786,428.949,-6.163,50.848,36.204,14.644,48.026,35.205,12.822
s0092,0.007,22.042,-22.035,2.967,13.196,-10.230,0.314,10.385,-10.071
