dataset,case_id,mean_uncertainty_fg,p95_uncertainty_fg,p99_uncertainty_fg,top1pct_mean_uncertainty_fg,max_uncertainty_fg,nonzero_fraction_fg,mean_uncertainty_boundary,p95_uncertainty_boundary,p99_uncertainty_boundary,top1pct_mean_uncertainty_boundary,mean_uncertainty_pred_or_label,p95_uncertainty_pred_or_label,p99_uncertainty_pred_or_label,top1pct_mean_uncertainty_pred_or_label,unc_auroc
amos,amos_0001,3.565091174e-05,0,0,0.003559939796,0.01101570018,0.006592094081,0.0001500054932,0,0.007639737334,0.01158008445,0.0002162561286,0,0.008855759166,0.01372697763,0.5299936404
amos,amos_0004,0.001543426537,0.01744163968,0.02458786778,0.02624089457,0.03015950322,0.1105627134,0.001051251078,0.01005316805,0.02277103066,0.02501254901,0.001574392896,0.01792613044,0.02458786778,0.02622216381,0.5388775492
amos,amos_0005,0,0,0,0,0,0,0,0,0,0,4.876071398e-05,0,0,0.004872547463,0.5066232861
amos,amos_0006,8.859170521e-06,0,0.0001045604149,0.0008766176179,0.007110108156,0.01081846216,1.51720551e-05,0,0,0.001513029216,8.438320947e-06,0,0.0001045604149,0.0008417228237,0.4945958004
amos,amos_0007,0,0,0,0,0,0,0,0,0,0,0.0004615192884,0,0.01582357474,0.01926651411,0.5286720584
amos,amos_0008,0.0005961749121,0,0.02314075641,0.02342018485,0.02366430312,0.04203397747,0.001118530519,0.01120389532,0.02324546501,0.02343494073,0.0002894720528,0,0.01329808123,0.02100013196,0.5201134265
amos,amos_0009,2.485548066e-06,0,0,0.0002482759883,0.001781762228,0.007604684742,2.748317229e-06,0,0,0.0002740978089,2.383813808e-06,0,0,0.0002383343526,0.4969613245
amos,amos_0010,0.0001027917315,0,0.001356952358,0.009896459989,0.02270633541,0.01799593135,7.892661233e-05,0,0.001085561817,0.007572088856,0.0001009208718,0,0.001266488805,0.009722090326,0.4949668117
amos,amos_0011,0.0001346280333,0,0.004924512934,0.009514155798,0.01793266088,0.04117289137,0.0001831209374,0.0001858306787,0.00641115848,0.01078586839,0.0001314213587,0,0.004738682415,0.009382100776,0.5350882153
amos,amos_0013,1.785040877e-05,0,0.0001984661067,0.001743238419,0.01002253871,0.01341311729,2.493296779e-05,0,9.923305333e-05,0.002476840978,1.792097828e-05,0,0.0001984661067,0.001749961753,0.4952269911
amos,amos_0014,0,0,0,0,0,0,0,0,0,0,0.0002158427815,0,0.01015682518,0.01090247743,nan
amos,amos_0015,0,0,0,0,0,0,0,0,0,0,2.302978646e-05,0,8.982474537e-05,0.002293797443,0.5059901691
amos,amos_0016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5
amos,amos_0017,0.0004362474428,0.0005584142637,0.01467277203,0.02032068744,0.02669220231,0.06107799438,0.0005620665615,0.001786925714,0.01817769371,0.02192929201,0.0004359516024,0.0005584142637,0.01463045459,0.02029051073,0.5540807529
amos,amos_0018,0.0001346370263,0,0.003944049124,0.01209492609,0.0258683227,0.02282592044,0.0002971611102,0,0.01410573069,0.01941872761,0.0001330203959,0,0.003712046426,0.01199080981,0.5307153164
amos,amos_0019,0.0004177502997,0.0006355131045,0.01387536898,0.01838791743,0.02700930648,0.06277511962,0.0005575143732,0.002436133567,0.01578190923,0.01897449791,0.0004133475595,0.0006355131045,0.01387536898,0.01837706193,0.5459107455
amos,amos_0021,0.0001100992231,0,0.00256152451,0.01015901938,0.02292564325,0.02045812436,9.20038292e-05,0,0.001921143383,0.008489402011,0.0001085688418,0,0.002433448331,0.01005521603,0.4954446727
amos,amos_0022,0.0001204879009,0,0.003867046209,0.01059629209,0.02498706803,0.02065100568,0.0002894130012,0,0.01072268747,0.01516760606,6.537546869e-05,0,0.0002974650997,0.006517095026,0.5093189139
amos,amos_0023,5.000614328e-05,0,0.001056192676,0.004592848476,0.01816651411,0.02041021516,0.0001394394058,0,0.004541628528,0.009797862731,4.863849972e-05,0,0.0009505733615,0.00450034393,0.5223535457
amos,amos_0024,2.29885427e-05,0,0.0004206490994,0.002157073002,0.01935681142,0.01695895163,8.024276758e-05,0,0.001223706524,0.007582617458,2.314035737e-05,0,0.0004449841799,0.002169898944,0.4978478744
amos,amos_0025,0.0002464217541,0,0.01339116879,0.01871944591,0.02405870892,0.02190576085,0.0005567183252,0,0.01974629983,0.02285724506,0.0002500030096,0,0.0134525653,0.01878323779,0.5068528022
amos,amos_0027,8.176794654e-05,0,0.002319206716,0.007042500656,0.01830952615,0.02351574793,5.309056723e-05,0,0.001098571578,0.00489699468,8.061914559e-05,0,0.002319206716,0.006966156885,0.5021172287
amos,amos_0029,2.381387458e-05,0,0.0001834305731,0.002348035574,0.0211862307,0.01306402927,3.367330282e-05,0,0.0001834305731,0.003334430279,2.333400334e-05,0,0.0001834305731,0.002307916293,0.49710883
